1611316114.374816;2034;186;2200
1611316114.406747;1727;922;2200
1611316114.429523;1683;2000;2200
1611316114.455261;1655;3613;2200
1611316114.481601;1626;5184;2200
1611316114.503819;1600;6909;2200
1611316114.533222;1573;8285;2200
1611316114.559610;1548;8044;2200
1611316114.585039;1521;6702;2200
1611316114.608850;1495;5269;2200
1611316114.622937;1468;3432;2200
1611316114.656062;1441;1596;2200
1611316114.671974;1410;199;2200
1611316114.708233;1405;88;2200
1611316114.731318;1400;119;2200
1611316114.761425;1365;159;2200
1611316114.786714;1322;210;2200
1611316114.805774;1300;158;2200
1611316114.822927;1296;101;2200
1611316114.856462;1284;66;2200
1611316115.140274;931;76;2200
1611316127.100218;2120;163;2208
1611316127.126523;1759;707;2208
1611316127.156507;1702;2050;2208
1611316127.181740;1664;3904;2208
1611316127.204964;1627;6121;2208
1611316127.232113;1592;8052;2208
1611316127.249871;1558;7441;2208
1611316127.277106;1523;5827;2208
1611316127.303004;1489;3599;2208
1611316127.333251;1452;1274;2208
1611316127.371142;1409;460;2208
1611316127.381401;1376;425;2208
1611316127.395194;1346;359;2208
1611316127.433562;1324;285;2208
1611316127.445354;1313;212;2208
1611316127.478730;1310;223;2208
1611316127.497919;1307;237;2208
1611316127.530598;1303;236;2208
1611316127.560447;1301;211;2208
1611316127.585494;1296;182;2208
1611316127.611011;1293;126;2208
1611316127.632015;1280;65;2208
1611316141.132220;2211;120;2216
1611316141.162043;1908;248;2216
1611316141.184490;1713;759;2216
1611316141.201666;1670;2701;2216
1611316141.237788;1636;5732;2216
1611316141.253090;1601;8488;2216
1611316141.283882;1567;11409;2216
1611316141.307255;1535;11937;2216
1611316141.333173;1502;9465;2216
1611316141.357827;1469;6530;2216
1611316141.388699;1434;3067;2216
1611316141.400477;1392;615;2216
1611316141.435547;1361;338;2216
1611316141.459777;1333;423;2216
1611316141.485782;1307;377;2216
1611316141.515300;1283;289;2216
1611316141.537775;1265;208;2216
1611316141.566282;1255;165;2216
1611316141.583278;1252;165;2216
1611316141.615665;1246;175;2216
1611316141.634014;1244;166;2216
1611316141.665878;1243;164;2216
1611316141.691374;1241;149;2216
1611316141.716679;1239;128;2216
1611316141.734594;1237;89;2216
1611316155.990905;2201;104;2216
1611316156.019897;2008;177;2216
1611316156.041937;1789;396;2216
1611316156.070907;1725;583;2216
1611316156.091191;1682;1547;2216
1611316156.120785;1653;3082;2216
1611316156.138306;1627;4507;2216
1611316156.171175;1603;6424;2216
1611316156.192368;1579;7900;2216
1611316156.222489;1557;10205;2216
1611316156.247411;1535;12107;2216
1611316156.272359;1513;12014;2220
1611316156.297519;1490;10673;2220
1611316156.323177;1467;8696;2216
1611316156.341058;1444;6857;2216
1611316156.370634;1420;4730;2216
1611316156.392211;1398;2484;2216
1611316156.419806;1370;675;2216
1611316156.446041;1345;523;2218
1611316156.474032;1330;646;2216
1611316156.497463;1315;726;2216
1611316156.524900;1297;692;2218
1611316156.547002;1277;459;2216
1611316156.572244;1263;142;2216
1611316156.588336;1260;98;2216
1611316156.622957;1257;88;2216
1611316156.649513;1253;95;2216
1611316156.668860;1249;84;2216
1611316156.701274;1245;78;2216
1611316156.723369;1240;72;2222
1611316156.747537;1232;65;2220
1611316156.772231;1224;67;2216
1611316156.790170;1216;67;2216
1611316156.820871;1215;70;2218
1611316156.853188;1214;79;2216
1611316156.871635;1214;89;2216
1611316156.903428;1213;84;2216
1611316156.928655;1212;94;2216
1611316156.953136;1210;90;2216
1611316156.970988;1201;71;2216
1611316167.672062;2152;141;2224
1611316167.696498;1681;639;2224
1611316167.722782;1627;2355;2224
1611316167.747625;1594;4642;2224
1611316167.763841;1560;7387;2224
1611316167.795187;1528;10456;2224
1611316167.823242;1496;11775;2224
1611316167.848488;1461;9977;2224
1611316167.869403;1426;6695;2224
1611316167.893394;1391;3660;2224
1611316167.923651;1346;561;2224
1611316167.947516;1333;129;2224
1611316167.970773;1306;170;2224
1611316167.996983;1275;253;2224
1611316168.013606;1250;221;2224
1611316168.044812;1247;117;2224
1611316186.682391;1940;110;2232
1611316186.703264;1917;159;2232
1611316186.732417;1880;193;2232
1611316186.746760;1842;212;2232
1611316186.782767;1801;262;2232
1611316186.808088;1751;468;2232
1611316186.833316;1715;1075;2232
1611316186.846663;1687;1711;2232
1611316186.879824;1662;2513;2232
1611316186.904015;1636;3359;2232
1611316186.931290;1612;4320;2232
1611316186.958982;1588;5142;2232
1611316186.982052;1565;5205;2232
1611316187.005715;1541;4617;2232
1611316187.032153;1518;3827;2232
1611316187.048574;1495;2999;2232
1611316187.079345;1470;2025;2232
1611316187.107280;1440;1002;2232
1611316187.131215;1403;522;2232
1611316187.157948;1375;562;2232
1611316187.186013;1350;655;2232
1611316187.211404;1325;789;2232
1611316187.231400;1304;941;2232
1611316187.261635;1281;1062;2232
1611316187.281836;1260;1211;2232
1611316187.312419;1238;1196;2232
1611316187.333812;1218;1001;2232
1611316187.357647;1197;607;2232
1611316187.387137;1182;227;2232
1611316187.413370;1178;135;2232
1611316187.438337;1177;104;2232
1611316187.463329;1176;107;2232
1611316187.479510;1176;109;2232
1611316187.513903;1175;121;2232
1611316187.533828;1179;150;2232
1611316187.562042;1183;178;2232
1611316187.584463;1184;204;2232
1611316187.614587;1182;205;2232
1611316187.633576;1180;205;2232
1611316187.665031;1179;180;2232
1611316187.690353;1176;166;2232
1611316187.714720;1176;154;2232
1611316187.730069;1173;149;2232
1611316187.765918;1171;150;2232
1611316187.778582;1170;148;2232
1611316187.812204;1170;144;2232
1611316187.841720;1170;141;2232
