s;1612518936.040999;2256
d;804;84
d;834;75
d;886;78
d;939;80
d;992;79
d;1050;77
d;1094;77
d;1128;78
d;1178;79
d;1237;74
d;1238;84
d;1258;76
d;1292;77
d;1331;75
d;1371;73
d;1392;77
e;1612518936.192844;2256
s;1612518942.568548;2264
d;1005;61
d;1059;66
d;1109;69
d;1157;69
d;1201;64
d;1244;67
e;1612518942.622397;2264
s;1612518942.799771;2264
d;888;127
d;890;176
d;894;204
d;896;171
d;896;130
d;895;83
e;1612518942.860112;2264
s;1612518949.339007;2264
d;1390;281
d;1379;291
d;1373;296
d;1373;306
d;1374;301
d;1376;290
d;1376;270
d;1379;240
d;1379;197
d;1378;150
d;1376;108
d;1372;70
e;1612518949.471931;2264
s;1612518952.516865;2264
d;1395;84
d;1383;81
d;1389;83
d;1377;84
d;1375;77
d;1382;75
d;1382;82
e;1612518952.592746;2264
s;1612518952.625227;2264
d;1397;79
d;1388;82
e;1612518952.638409;2264
s;1612518952.654895;2264
d;1394;82
d;1391;81
d;1397;82
d;1390;79
d;1392;78
e;1612518952.706461;2264
s;1612518952.707669;2264
d;1395;78
e;1612518952.725266;2264
s;1612518952.725266;2264
d;1385;79
d;1398;78
e;1612518952.756261;2264
s;1612518952.889115;2264
d;1397;82
d;1395;79
d;1399;75
e;1612518952.927851;2264
s;1612518962.358194;2264
d;1373;185
d;1046;319
d;817;431
d;736;339
d;703;236
d;679;207
d;657;202
d;637;194
d;608;215
d;574;261
d;537;383
d;496;648
d;469;1071
d;458;1709
d;451;2955
d;445;2267
d;447;1177
d;437;2973
d;428;3632
d;421;4582
d;427;1888
d;435;1589
d;438;1676
d;438;1893
d;438;2163
d;438;2325
d;439;2438
d;439;2557
d;439;2619
d;440;2657
d;441;2694
d;443;2924
d;446;3259
d;449;3154
d;450;2628
d;449;1458
d;462;408
d;474;91
d;553;76
d;608;85
d;691;84
d;750;78
d;769;79
d;829;78
d;876;79
d;884;83
d;908;79
d;932;81
d;995;81
d;1003;83
d;1000;78
d;1050;83
d;1101;84
d;1150;82
d;1190;82
d;1204;79
d;1212;85
d;1225;78
d;1238;78
d;1243;84
d;1238;77
d;1247;74
d;1241;84
d;1241;79
d;1277;79
d;1310;78
d;1351;78
d;1359;75
d;1368;81
e;1612518963.055448;2264
s;1612518967.141255;2264
d;512;237
d;366;2915
d;347;5462
d;336;1138
d;335;614
d;337;128
e;1612518967.210656;2264
s;1612518967.336044;2264
d;430;449
d;426;111
d;477;62
d;560;77
d;593;77
d;653;83
d;722;79
d;758;81
d;812;80
d;841;79
d;875;78
d;918;78
d;969;81
d;1009;80
d;1017;82
d;1057;78
d;1075;78
d;1105;78
d;1133;81
d;1163;86
d;1209;80
d;1212;82
d;1208;78
d;1212;81
d;1235;79
d;1289;84
d;1324;83
d;1357;79
d;1385;80
e;1612518967.635726;2264
s;1612518967.637902;2264
d;1391;79
e;1612518967.655249;2264
s;1612518967.671736;2264
d;1397;70
d;1373;69
d;1348;62
e;1612518967.691149;2264
s;1612518969.138111;2264
d;785;689
d;589;1170
d;562;1399
d;543;1462
d;527;1509
d;509;1521
d;494;1494
d;479;1470
d;463;1429
d;448;1346
d;433;1254
d;419;1319
d;409;1103
d;407;3428
d;399;5131
d;391;2446
d;385;3147
d;374;2385
d;363;2909
d;353;7386
d;350;8265
d;349;8322
d;348;8212
d;347;8188
d;347;8299
d;346;8211
d;345;8026
d;344;7639
d;343;6857
d;343;6642
d;342;6661
d;342;6483
d;342;6802
d;341;7169
d;341;7428
d;340;7616
d;340;7959
d;340;7825
d;339;7457
d;339;7082
d;339;6974
d;339;7100
d;339;7140
d;338;7101
d;338;6994
d;338;7032
d;338;7190
d;338;7719
d;338;8150
d;338;8075
d;338;7970
d;338;7906
d;338;7597
d;339;7619
d;339;8018
d;337;7397
d;337;6518
d;337;6348
d;339;6828
d;340;7111
d;341;7319
d;342;7114
d;343;6908
d;344;6728
d;344;4872
d;345;1756
d;356;605
d;410;73
d;506;72
d;555;75
d;634;77
d;680;77
d;745;78
d;764;82
d;807;72
d;828;74
d;886;80
d;906;77
d;929;76
d;964;80
d;980;79
d;1047;76
d;1096;78
d;1151;79
d;1182;72
d;1221;81
d;1233;77
d;1253;77
d;1246;74
d;1262;80
d;1250;81
d;1234;83
d;1250;82
d;1300;78
d;1314;79
d;1352;84
d;1380;78
e;1612518970.114569;2264
s;1612518971.491409;2264
d;575;94
d;511;309
d;462;382
d;439;350
d;428;240
e;1612518971.529159;2264
s;1612518971.863762;2264
d;441;185
d;435;60
d;496;62
d;574;69
d;642;75
d;714;75
d;785;78
d;847;77
d;900;74
d;961;80
d;992;76
d;1019;75
d;1028;77
d;1070;73
d;1127;83
d;1161;75
d;1202;74
d;1253;74
d;1292;77
d;1316;79
d;1341;69
d;1387;74
e;1612518972.085510;2264
s;1612518972.087154;2264
d;1396;75
e;1612518972.105418;2264
s;1612518976.052251;2264
d;1348;235
d;1357;208
d;1347;114
d;1277;75
d;1288;208
d;1335;253
d;1372;285
d;1396;307
e;1612518976.140124;2264
s;1612518976.341637;2264
d;1293;391
d;830;399
d;866;185
d;1363;174
e;1612518976.369252;2264
s;1612518977.103199;2264
d;1289;173
d;1027;231
d;681;476
d;511;864
d;476;1022
d;468;798
d;467;1525
d;456;6283
d;446;5109
d;439;1821
d;434;485
d;435;194
d;435;139
d;435;112
d;435;104
d;435;102
d;435;99
d;435;118
d;431;321
d;425;302
d;424;160
d;425;131
d;425;119
d;426;108
d;426;108
d;426;106
d;427;104
d;427;105
d;427;107
d;427;112
d;427;126
d;426;159
d;425;163
d;425;125
d;425;111
d;425;108
d;425;107
d;426;102
d;425;106
d;425;105
d;425;121
d;424;233
d;421;254
d;421;139
d;422;113
d;422;110
d;422;115
d;423;130
d;423;146
d;423;133
d;424;104
d;424;94
d;425;103
d;426;101
d;431;277
d;428;777
d;825;359
e;1612518977.675297;2264
s;1612518978.832267;2264
d;1108;525
d;813;533
d;718;452
d;694;249
d;683;207
d;666;221
d;645;272
d;626;297
d;612;287
d;601;263
d;589;297
d;562;640
d;538;1620
d;525;3790
d;516;7090
d;508;10604
d;501;11844
d;494;11120
d;487;9730
d;481;8306
d;476;7126
d;471;5685
d;468;5770
d;464;6415
d;459;6776
d;455;6565
d;452;6228
d;450;5789
d;449;5335
d;449;4904
d;451;4710
d;453;4807
d;454;5085
d;454;5228
d;454;5162
d;454;5106
d;454;5160
d;453;5276
d;453;5357
d;453;5320
d;453;5343
d;453;5367
d;453;5356
d;453;5345
d;453;5495
d;453;5604
d;453;5530
d;453;5404
d;453;5311
d;454;5242
d;454;5225
d;454;5267
d;455;5490
d;454;5870
d;453;6090
d;451;6049
d;450;5693
d;449;5123
d;449;4617
d;450;4126
d;452;3412
d;453;2051
d;495;964
d;1172;476
e;1612518979.478119;2264
s;1612518980.774497;2264
d;526;554
d;494;971
d;481;1000
d;475;2034
d;463;2578
d;453;2070
d;454;369
d;455;98
e;1612518980.846010;2264
s;1612518980.935044;2264
d;463;128
d;463;66
e;1612518980.947216;2264
s;1612518982.261401;2264
d;481;13989
d;191;4429
d;170;4275
d;166;4876
d;166;3838
d;169;2421
d;172;2471
d;175;2868
d;178;3264
d;178;2952
d;178;3452
d;177;11022
d;177;9810
d;176;7812
d;172;10716
d;159;4394
d;152;5117
d;148;5557
d;146;5097
d;144;3967
d;142;5983
d;140;2848
d;145;1719
d;158;2823
d;165;9473
d;160;11524
d;158;5674
d;86;1795
d;1279;315
e;1612518982.555310;2264
s;1612519012.409135;2264
d;873;116
d;867;228
d;863;418
d;868;457
d;879;390
d;890;380
d;903;398
d;914;539
d;920;2206
d;926;4605
d;936;6208
d;949;6540
d;962;6319
d;974;5921
d;986;4389
d;998;2348
