1611393324.831105;520;852;115;2224
1611393324.840026;521;828;195;2224
1611393324.851097;522;722;1297;2224
1611393324.853513;523;687;8227;2224
1611393324.865405;524;671;6969;2224
1611393324.881814;525;657;10071;2224
1611393324.884474;526;645;15434;2224
1611393324.894347;527;635;9269;2224
1611393324.905777;528;624;2353;2224
1611393324.914761;529;612;5029;2224
1611393324.925310;530;596;15364;2224
1611393324.935877;531;583;13292;2224
1611393324.948410;532;571;9332;2224
1611393324.948410;533;559;6123;2224
1611393324.971107;534;547;3950;2224
1611393324.982499;535;534;7070;2224
1611393324.986031;536;523;3557;2224
1611393324.999885;537;519;889;2224
1611393325.005859;538;514;687;2224
1611393325.022964;539;502;2122;2224
1611393325.032339;540;486;3045;2224
1611393325.040138;541;472;2882;2224
1611393325.053300;542;458;2630;2224
1611393325.055831;543;445;2160;2224
1611393325.066622;544;431;1998;2224
1611393325.083737;545;418;2199;2224
1611393325.086334;546;406;1668;2224
1611393325.098275;547;397;607;2224
1611393325.113932;548;398;131;2224
1611393325.116921;549;399;65;2224
1611393325.148205;552;426;187;2224
1611393325.157884;553;420;183;2224
1611393325.170750;554;418;154;2224
1611393325.184560;555;412;177;2224
1611393325.187967;556;407;164;2224
1611393325.204643;557;406;98;2224
1611393325.214267;558;405;62;2224
1611393325.333361;570;416;216;2224
1611393325.346642;571;411;274;2224
1611393325.350161;572;407;189;2224
1611393325.366151;573;408;92;2224
1611393325.373216;574;412;65;2224
1611393325.385635;575;416;61;2224
1611393337.307031;1758;471;103;2232
1611393337.322737;1759;491;132;2232
1611393337.327752;1760;528;161;2232
1611393337.338899;1761;565;166;2232
1611393337.348179;1762;603;172;2232
1611393337.359582;1763;640;183;2232
1611393337.371490;1764;687;240;2232
1611393337.380123;1765;722;375;2232
1611393337.390132;1766;727;570;2232
1611393337.406379;1767;710;1094;2232
1611393337.416505;1768;693;1717;2232
1611393337.426604;1769;680;2266;2232
1611393337.432986;1770;666;2962;2232
1611393337.444174;1771;652;3960;2232
1611393337.455559;1772;639;5614;2232
1611393337.459771;1773;626;8725;2232
1611393337.477065;1774;612;13350;2232
1611393337.480263;1775;601;5778;2232
1611393337.490971;1776;589;2952;2232
1611393337.507204;1777;577;4607;2232
1611393337.509791;1778;564;9183;2232
1611393337.521238;1779;553;8836;2232
1611393337.537460;1780;541;9218;2232
1611393337.540375;1781;529;9492;2232
1611393337.548596;1782;517;7669;2232
1611393337.560920;1783;504;6283;2232
1611393337.571359;1784;493;4318;2232
1611393337.588266;1785;484;3079;2232
1611393337.591969;1786;480;7335;2232
1611393337.606360;1787;469;9938;2232
1611393337.617791;1788;458;8441;2232
1611393337.622286;1789;451;5280;2232
1611393337.639394;1790;439;9269;2232
1611393337.649391;1791;427;11508;2232
1611393337.659129;1792;414;4742;2232
1611393337.660143;1793;406;3011;2232
1611393337.679551;1794;396;2424;2232
1611393337.688922;1795;387;1541;2232
1611393337.690266;1796;383;684;2232
1611393337.707038;1797;383;443;2232
1611393337.711390;1798;385;446;2232
1611393337.722950;1799;386;190;2232
1611393337.740349;1800;388;186;2232
1611393337.742935;1801;390;229;2232
1611393337.754477;1802;392;314;2232
1611393337.770570;1803;393;453;2232
1611393337.773672;1804;390;541;2232
1611393337.782972;1805;386;547;2232
1611393337.795279;1806;386;542;2232
1611393337.804791;1807;383;532;2232
1611393337.815001;1808;382;523;2232
1611393337.823371;1809;381;503;2232
1611393337.838872;1810;380;488;2232
1611393337.850676;1811;378;472;2232
1611393337.856636;1812;380;457;2232
1611393337.870098;1813;380;431;2232
1611393337.873642;1814;381;409;2232
1611393337.891281;1815;383;404;2232
1611393337.893771;1816;385;478;2232
1611393337.911444;1817;384;542;2232
1611393337.921284;1818;380;466;2232
1611393337.923927;1819;380;332;2232
1611393337.939039;1820;383;271;2232
1611393337.943229;1821;385;287;2232
1611393337.955873;1822;386;450;2232
1611393337.972009;1823;387;375;2232
1611393337.974465;1824;384;235;2232
1611393337.984044;1825;386;72;2232
1611393358.673786;3878;108;64;2240
1611393358.688601;3879;157;75;2240
1611393358.705611;3880;204;78;2240
1611393358.710745;3881;248;84;2240
1611393358.726585;3882;291;101;2240
1611393358.735801;3883;330;97;2240
1611393358.740838;3884;369;108;2240
1611393358.756724;3885;406;107;2240
1611393358.761450;3886;440;108;2240
1611393358.777222;3887;473;109;2240
1611393358.786930;3888;504;115;2240
1611393358.795876;3889;534;114;2240
1611393358.807041;3890;562;121;2240
1611393358.811764;3891;589;124;2240
1611393358.821831;3892;615;117;2240
1611393358.836513;3893;639;120;2240
1611393358.839962;3894;662;117;2240
1611393358.855377;3895;684;113;2240
1611393358.860277;3896;705;119;2240
1611393358.871371;3897;725;115;2240
1611393358.888014;3898;744;116;2240
1611393358.891172;3899;762;115;2240
1611393358.905965;3900;779;114;2240
1611393358.905965;3901;796;119;2240
1611393358.922764;3902;812;118;2240
1611393358.938456;3903;827;119;2240
1611393358.946256;3904;841;117;2240
1611393358.958317;3905;854;111;2240
1611393358.962656;3906;867;118;2240
1611393358.977212;3907;880;112;2240
1611393358.987489;3908;891;115;2240
1611393358.996557;3909;902;116;2240
1611393359.003446;3910;912;110;2240
1611393359.019001;3911;922;120;2240
1611393359.022140;3912;931;119;2240
1611393359.038725;3913;940;115;2240
1611393359.041179;3914;949;114;2240
1611393359.053483;3915;957;119;2240
1611393359.061929;3916;964;125;2240
1611393359.072128;3917;971;123;2240
1611393359.082359;3918;978;126;2240
1611393359.092838;3919;985;122;2240
1611393359.103615;3920;991;120;2240
1611393359.120093;3921;996;127;2240
