s;1612521674.461830;2232
d;2275;81
d;2258;97
d;2231;111
d;2205;130
d;2179;134
d;2154;148
d;2124;153
d;2099;135
d;2060;157
d;1970;183
d;1891;186
d;1844;171
d;1808;167
d;1796;147
d;1771;162
d;1729;184
d;1682;212
d;1639;244
d;1608;258
d;1587;263
d;1573;258
d;1563;256
d;1558;250
d;1555;234
d;1553;228
d;1552;213
d;1550;221
d;1550;216
d;1550;211
d;1550;199
d;1549;193
d;1548;175
d;1549;166
d;1549;165
d;1548;149
d;1548;110
d;1545;70
e;1612521674.830031;2232
s;1612521677.022176;2232
d;835;539
d;832;626
d;838;3064
d;847;8949
d;862;4756
d;874;4941
d;886;4818
d;902;6153
d;917;5090
d;928;12419
d;942;6245
d;957;4488
d;971;5185
d;987;4615
d;1002;3879
d;1018;3040
d;1034;4586
d;1048;11184
d;1070;6381
d;1096;6953
d;1111;7864
d;1126;7467
d;1139;13133
d;1148;611
d;1146;66
e;1612521677.279586;2232
s;1612521715.710614;2238
d;831;193
d;828;199
d;828;109
e;1612521715.744133;2240
s;1612521715.863275;2240
d;840;160
d;829;250
d;826;228
d;827;114
d;829;61
d;831;63
d;832;99
d;832;217
d;831;344
d;839;842
d;850;2226
d;866;1927
d;881;482
d;883;84
d;887;78
d;891;77
d;896;69
d;901;68
d;906;94
d;914;153
d;969;301
d;979;212
d;999;76
d;1055;82
d;1108;76
d;1158;74
d;1206;75
d;1252;73
d;1296;69
d;1337;64
e;1612521716.165488;2240
s;1612521716.379740;2240
d;2135;70
d;2134;76
d;2134;82
d;2133;81
d;2132;75
d;2131;81
d;2129;86
d;2127;89
d;2126;78
d;2124;78
d;2121;80
d;2119;78
d;2117;77
d;2115;67
d;2113;62
e;1612521716.536069;2240
s;1612521724.653960;2240
d;813;134
d;810;207
d;804;259
d;802;271
d;799;272
d;800;211
d;797;260
d;794;325
d;792;387
d;768;2456
d;773;6799
d;787;1511
d;791;468
d;790;378
d;787;411
d;786;442
d;787;458
d;787;470
d;785;482
d;786;496
d;785;504
d;785;513
d;786;504
d;785;512
d;783;538
d;783;569
d;783;863
d;787;1057
d;782;718
d;781;835
d;787;762
d;791;577
d;789;371
d;786;361
d;783;402
d;778;467
d;777;688
d;781;776
d;784;702
d;787;968
d;781;6042
d;792;8140
d;807;9049
d;825;5523
d;847;465
d;861;266
d;872;251
d;884;244
d;899;242
d;914;248
d;928;246
d;944;246
d;960;249
d;975;244
d;990;247
d;1008;270
d;1026;287
d;1054;400
d;1093;2653
d;1112;4644
